DATE,pred,ci_lower,ci_upper,pred_acc,pred_vel,country,ISO,npi_stringency_index,tests_new_per_thousand,stats_population_density,stats_population_urban,country_name,infections_var,risk_index,latitude,longitude
2020-05-17,504.5903201314102,386.32443502657316,622.8562052362472,1.3883848533685337,-5.9879659212948315,belgium,BEL,75.0,0.7140000000000001,375.564,3081719.0,Belgium,-11.739014937693923,-7.343408962616354,50.6402809,4.6667145
2020-05-18,489.90677128787934,370.424645232394,609.3888973433646,2.963236192025173,19.961471560248732,belgium,BEL,75.0,0.614,375.564,3081719.0,Belgium,-14.683548843530843,-9.110129306118507,50.6402809,4.6667145
2020-05-19,459.449790280958,340.5421765064436,578.3574040554724,3.4322285677602173,30.367391896087945,belgium,BEL,75.0,1.096,375.564,3081719.0,Belgium,-30.456981006921353,-18.574188604152813,50.6402809,4.6667145
2020-05-20,424.27442039613044,305.63350361879213,542.9153371734687,3.068415156957133,27.970615374966886,belgium,BEL,75.0,1.223,375.564,3081719.0,Belgium,-35.175369884827546,-21.405221930896527,50.6402809,4.6667145
2020-05-21,398.61814377961537,279.14361586028514,518.0926716989457,2.448803172679993,22.39890294268858,belgium,BEL,75.0,0.647,375.564,3081719.0,Belgium,-25.656276616515072,-15.693765969909043,50.6402809,4.6667145
2020-05-22,385.128327960329,265.1124194180584,505.1442365025996,1.4716619022934212,9.47756924457722,belgium,BEL,75.0,0.8390000000000001,375.564,3081719.0,Belgium,-13.489815819286378,-8.393889491571827,50.6402809,4.6667145
2020-05-23,382.92100051874786,263.0246856803745,502.81731535712123,0.08793472650802249,-8.790423651314933,belgium,BEL,75.0,0.564,375.564,3081719.0,Belgium,-2.2073274415811284,-1.624396464948677,50.6402809,4.6667145
2020-05-24,322.10243495604294,203.86611303627177,440.3387568758141,-1.2836534940374171,-29.429627193577534,belgium,BEL,75.0,0.458,375.564,3081719.0,Belgium,-60.81856556270492,-36.791139337622944,50.6402809,4.6667145
2020-05-25,265.6675267023254,147.8960288252008,383.43902457945,-0.12519524789615957,-12.860977623368925,belgium,BEL,75.0,0.58,375.564,3081719.0,Belgium,-56.43490825371754,-34.160944952230516,50.6402809,4.6667145
2020-05-26,222.1641036964298,107.38534500962929,336.9428623832303,0.5228880905781547,-2.93506549076188,belgium,BEL,75.0,1.041,375.564,3081719.0,Belgium,-43.5034230058956,-26.40205380353736,50.6402809,4.6667145
